,Date,Time,Magnitude(ml),Depth(km),Region,Country/City,Localization,Latitude,Longitude
0,03/09/2023,16:35,5.2,107,Azerbaijan. From Georgia border - 162km.,Azerbaijan, From Georgia border - 162km.,40.3335,48.266
1,26/08/2023,12:43,3.7,1,Russia. Chechnia. From Georgia border - 31km.,Russia, Chechnia. From Georgia border - 31km.,42.816,45.701
2,24/08/2023,13:15,3.8,2,From Tbilisi  54km. City Dmanisi - South-East - 10km. Village Gora - 1km.,Near Tbilisi, City Dmanisi - South-East - 10km. Village Gora - 1km.,41.231,44.28
3,14/08/2023,07:05,3.2,24,Town Khazbegi - South-East - 33km. Village Chalisofeli - 2km.,Town Khazbegi, Village Chalisofeli - 2km.,42.4708,45.0031
4,28/07/2023,05:55,3.5,8,City Borjomi - West - 17km. Village Atskuri - 5km.,City Borjomi, Village Atskuri - 5km.,41.7878,43.1566
5,26/07/2023,07:02,4.7,35,Azerbaijan. From Georgia border - 372km.,Azerbaijan, From Georgia border - 372km.,38.767,49.748
6,19/07/2023,04:54,3.1,5,From Tbilisi  57km. City Dmanisi - North-West - 17km. Village mamishlari - 1km.,Near Tbilisi, City Dmanisi - North-West - 17km. Village mamishlari - 1km.,41.417,44.0011
7,19/07/2023,02:38,3.2,45,City Dedoplistskaro - South-West - 25km. Village Gamarjveba - 20km.,City Dedoplistskaro, Village Gamarjveba - 20km.,41.2021,45.7811
8,04/07/2023,08:04,3.5,10,Armenia. From Georgia border - 2km.,Armenia, From Georgia border - 2km.,41.1395,43.9138
9,04/07/2023,01:50,3.2,12,City Ninotsminda - East - 24km. Village Sameba - 8km.,City Ninotsminda, Village Sameba - 8km.,41.2065,43.9055
10,30/06/2023,08:55,3.5,2,Russia. Dagestan. From Georgia border - 111km.,Russia, Dagestan. From Georgia border - 111km.,43.1181,46.8108
11,25/06/2023,09:14,3.1,7,null,null,null,41.0016,43.474
12,07/06/2023,06:24,3.9,5,City Tianeti - North-East - 32km. Village Ukanafshavi.,City Tianeti, Village Ukanafshavi.,42.4116,45.1165
13,06/06/2023,07:21,3.9,13,City Tianeti - North-East - 32km. Village Ukanafshavi.,City Tianeti, Village Ukanafshavi.,42.403,45.1165
14,24/05/2023,16:53,3.4,25,Russia. Dagestan. From Georgia border - 5km.,Russia, Dagestan. From Georgia border - 5km.,42.1503,45.9465
15,17/05/2023,04:30,3.5,8,City Ozurgeti - East - 16km. Resort Gomismta - 5km.,City Ozurgeti, Resort Gomismta - 5km.,41.8421,42.2255
16,30/04/2023,22:02,2.9,42,City Dedoplistskaro - West - 12km. Village Gamarjveba - 6km.,City Dedoplistskaro, Village Gamarjveba - 6km.,41.4351,45.949
17,30/04/2023,10:02,4.0,19,Russia. Dagestan. From Georgia border - 124km.,Russia, Dagestan. From Georgia border - 124km.,42.0996,47.9275
18,27/04/2023,15:54,3.5,20,City Kutaisi - South - 4km. Village Geguti.,City Kutaisi, Village Geguti.,42.1775,42.6865
19,27/04/2023,08:32,3.1,7,From Tbilisi  60km. City Tsalka - South-West - 18km. Village mamishlari - 5km.,Near Tbilisi, City Tsalka - South-West - 18km. Village mamishlari - 5km.,41.4335,43.9583
20,26/04/2023,22:46,2.3,7,From Tbilisi  60km. City Tsalka - South-West - 18km. Village mamishlari - 5km.,Near Tbilisi, City Tsalka - South-West - 18km. Village mamishlari - 5km.,41.4346,43.9568
21,26/04/2023,15:37,3.2,11,From Tbilisi  62km. City Dmanisi - West - 12km. Village Soghutlo - 7km.,Near Tbilisi, City Dmanisi - West - 12km. Village Soghutlo - 7km.,41.3038,44.026
22,25/04/2023,07:08,3.5,19,City Kutaisi - South - 4km. Village Geguti.,City Kutaisi, Village Geguti.,42.1763,42.681
23,24/04/2023,11:22,3.9,8,Azerbaijan. From Georgia border - 16km.,Azerbaijan, From Georgia border - 16km.,41.5353,46.5951
24,12/04/2023,21:38,3.6,12,Azerbaijan. From Georgia border - 139km.,Azerbaijan, From Georgia border - 139km.,40.857,48.2918
25,11/04/2023,10:30,4.1,2,From Georgia border - 188km.,Near Georgia,,39.48,44.36
26,08/04/2023,15:54,3.3,11,From Tbilisi  58km. City Tsalka - South-West - 14km. Village Salamaleiqi - 6km.,Near Tbilisi, City Tsalka - South-West - 14km. Village Salamaleiqi - 6km.,41.4696,43.9631
27,07/04/2023,08:29,4.5,10,Turkey. From Georgia border - 134km.,Turkey, From Georgia border - 134km.,39.0781,40.4116
28,05/04/2023,07:37,3.1,37,Azerbaijan. From Georgia border - 39km.,Azerbaijan, From Georgia border - 39km.,40.877,46.9788
29,03/04/2023,11:47,3.5,4,null,null,null,42.7185,46.4505
30,01/04/2023,14:03,4.3,15,Russia. From Georgia border - 103km.,Russia, From Georgia border - 103km.,44.0651,43.2673
31,30/03/2023,14:09,3.8,3,Russia. Dagestan. From Georgia border - 54km.,Russia, Dagestan. From Georgia border - 54km.,42.6588,46.3718
32,25/03/2023,05:03,3.4,12,City Lagodekhi - North-West - 10km. Village Zemo khechili - 2km.,City Lagodekhi, Village Zemo khechili - 2km.,41.915,46.1676
33,16/03/2023,11:47,5.4,0,From Georgia border - 297km.,Near Georgia,,38.44,45.22
34,11/03/2023,07:41,3.2,7,Russia. Chechnia. From Georgia border - 49km.,Russia, Chechnia. From Georgia border - 49km.,42.9198,45.772
35,08/03/2023,03:15,3.5,11,City Gurdjaani - North-East - 12km. Village Balghojiani.,City Gurdjaani, Village Balghojiani.,41.8216,45.9471
36,05/03/2023,01:24,3.2,2,null,null,null,40.9915,42.8051
